name,email,phone,website,city,source,category,created_at
"STAR Unisex Hair Salon Shilaj, Bopal, Ahmedabad",,"
073838 73617",,Gujarat,google_maps_browser,,2026-02-06T07:44:42.040537
Sajnee Spa,,"
099780 80605",http://sajneespasalon.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:33.176149
Poise Salon & Spa - Thaltej,,"
090815 76473",,Ahmedabad,google_maps_browser,,2026-02-06T07:44:31.693962
MIDAS TOUCH Salon & Makeup Studio,,"
094288 06740",,Ahmedabad,google_maps_browser,,2026-02-06T07:44:27.373256
Nymphs Salon,,"
090994 73000",https://www.enrichbeauty.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:24.141824
Shades Salon,,"
090994 73000",https://www.enrichbeauty.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:22.732464
The Jawed Habib Salon -Bopal,,"
090994 73000",https://www.enrichbeauty.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:21.060264
CS creative salon,,"
090994 73000",https://www.enrichbeauty.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:19.737407
Enrich Salon Satelite,,"
090994 73000",https://www.enrichbeauty.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:18.467763
"Geetanjali Salon - PRL Colony, Ahmedabad",,"
092209 06909",https://salons.geetanjalisalon.com/locator/ahmedabad/PRL-Colony/geetanjali-salon-in-PRL-Colony-ahmedabad--3fg5ec/home,Ahmedabad,google_maps_browser,,2026-02-06T07:44:16.916822
Edge - The Lounge Salon (Unisex),,"
099988 57312",https://www.kapilssalon.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:15.804796
Kapils Salon,,"
099988 57312",https://www.kapilssalon.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:14.609313
Kallistaa Salon | Best Hair & Makeup Salon in Ahmedabad,,"
099096 40777",https://www.reflexions.in,Ahmedabad,google_maps_browser,,2026-02-06T07:44:13.190822
Reflexions Unisex Salon - Since 2007!,,"
099096 40777",https://www.reflexions.in,Ahmedabad,google_maps_browser,,2026-02-06T07:44:11.874025
